Ensembl_ID,Gene_Symbol,HNC_WGCNA_Module,OPSCC_WGCNA_Module,VSCC_WGCNA_Module,HNC_log2FC,OPSCC_log2FC,VSCC_log2FC,Stouffer_Score,SD,Included_in_35_Gene_Signature
ENSG00000139668,WDFY2,Not in network,Not in network,grey,-1.3,-0.21,-0.07,-5.27,3.23,No
ENSG00000183508,TENT5C,blue,brown,red,2.98,1.63,-0.01,5.27,2.77,No
ENSG00000076003,MCM6,Not in network,Not in network,Not in network,1.34,0.11,0.15,5.25,3.49,No
ENSG00000149257,SERPINH1,turquoise,turquoise,Not in network,-1.67,-0.5,0.02,-5.25,3.95,No
ENSG00000156738,MS4A1,blue,brown,red,3.89,3.59,-0.03,5.25,3.62,No
ENSG00000196470,SIAH1,Not in network,Not in network,blue,-1.48,-0.18,-0.05,-5.25,3.7,No
ENSG00000103365,GGA2,turquoise,Not in network,Not in network,1.76,1.17,0.02,5.23,2.55,No
ENSG00000105982,RNF32,Not in network,Not in network,green,1.8,0.54,0.02,5.23,2.77,No
ENSG00000174123,TLR10,blue,brown,Not in network,2.12,2.85,-0.02,5.23,3.68,No
ENSG00000229647,MYOSLID,turquoise,turquoise,grey,-2.46,-0.14,-0.05,-5.23,2.34,No
ENSG00000155886,SLC24A2,turquoise,turquoise,Not in network,-3.74,-0.04,-0.03,-5.22,3.83,No
ENSG00000088826,SMOX,turquoise,Not in network,Not in network,-2.39,-0.83,-0.01,-5.21,2.79,No
ENSG00000103855,CD276,Not in network,brown,grey,-1.11,-1.09,-0.02,-5.21,2.44,No
ENSG00000136944,LMX1B,turquoise,black,yellow,-0.61,-4.05,0.01,-5.21,4.38,No
ENSG00000177788,RAB4A-AS1,Not in network,black,green,1.57,0.06,1.17,5.21,2.73,No
ENSG00000204175,GPRIN2,turquoise,brown,brown,2.04,0.05,1.36,5.21,2.31,No
ENSG00000158169,FANCC,Not in network,Not in network,Not in network,0.87,0.23,0.08,5.2,3.11,No
ENSG00000162174,ASRGL1,blue,black,grey,1.88,2.24,0.02,5.2,2.25,No
ENSG00000215458,AATBC,blue,black,grey,2.19,0.21,0.04,5.2,3.33,No
